source_path,source_function,call_name,target_path,target_function,call_kind,lineno
src/ciel_sot_agent/index_validator.py,validate_demo_shell_inventory_data,str,,,external_or_builtin,56
src/ciel_sot_agent/index_validator.py,validate_demo_shell_inventory_data,issues.append,,,external_or_builtin,58
src/ciel_sot_agent/index_validator.py,validate_demo_shell_inventory_data,ValidationIssue,,,external_or_builtin,58
src/ciel_sot_agent/index_validator.py,validate_demo_shell_inventory_data,issues.append,,,external_or_builtin,60
src/ciel_sot_agent/index_validator.py,validate_demo_shell_inventory_data,ValidationIssue,,,external_or_builtin,60
src/ciel_sot_agent/index_validator.py,validate_demo_shell_inventory_data,str,,,external_or_builtin,62
src/ciel_sot_agent/index_validator.py,validate_demo_shell_inventory_data,issues.append,,,external_or_builtin,63
src/ciel_sot_agent/index_validator.py,validate_demo_shell_inventory_data,ValidationIssue,,,external_or_builtin,63
src/ciel_sot_agent/index_validator.py,validate_demo_shell_inventory_data,str,,,external_or_builtin,65
src/ciel_sot_agent/index_validator.py,validate_demo_shell_inventory_data,issues.append,,,external_or_builtin,66
src/ciel_sot_agent/index_validator.py,validate_demo_shell_inventory_data,ValidationIssue,,,external_or_builtin,66
src/ciel_sot_agent/index_validator.py,validate_demo_shell_inventory_data,isinstance,,,external_or_builtin,69
src/ciel_sot_agent/index_validator.py,validate_demo_shell_inventory_data,issues.append,,,external_or_builtin,70
src/ciel_sot_agent/index_validator.py,validate_demo_shell_inventory_data,ValidationIssue,,,external_or_builtin,70
src/ciel_sot_agent/index_validator.py,validate_demo_shell_inventory_data,set,,,external_or_builtin,73
src/ciel_sot_agent/index_validator.py,validate_demo_shell_inventory_data,str,,,external_or_builtin,75
src/ciel_sot_agent/index_validator.py,validate_demo_shell_inventory_data,raw_path.strip,,,external_or_builtin,75
src/ciel_sot_agent/index_validator.py,validate_demo_shell_inventory_data,issues.append,,,external_or_builtin,77
src/ciel_sot_agent/index_validator.py,validate_demo_shell_inventory_data,ValidationIssue,,,external_or_builtin,77
src/ciel_sot_agent/index_validator.py,validate_demo_shell_inventory_data,known_paths.add,,,external_or_builtin,80
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,list,,,external_or_builtin,91
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,str,,,external_or_builtin,92
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,map_object.get,,,external_or_builtin,92
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,str,,,external_or_builtin,94
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,issues.append,,,external_or_builtin,95
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,ValidationIssue,,,external_or_builtin,95
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,str,,,external_or_builtin,97
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,shell_map.get,,,external_or_builtin,97
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,issues.append,,,external_or_builtin,99
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,ValidationIssue,,,external_or_builtin,99
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,set,,,external_or_builtin,101
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,map_object.get,,,external_or_builtin,101
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,str,,,external_or_builtin,101
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,issues.append,,,external_or_builtin,103
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,ValidationIssue,,,external_or_builtin,103
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,str,,,external_or_builtin,105
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,shell_map.get,,,external_or_builtin,105
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,issues.append,,,external_or_builtin,106
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,ValidationIssue,,,external_or_builtin,106
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,str,,,external_or_builtin,108
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,map_object.get,,,external_or_builtin,108
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,issues.append,,,external_or_builtin,109
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,ValidationIssue,,,external_or_builtin,109
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,map_object.get,,,external_or_builtin,111
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,issues.append,,,external_or_builtin,112
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,ValidationIssue,,,external_or_builtin,112
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,map_object.get,,,external_or_builtin,114
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,issues.append,,,external_or_builtin,115
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,ValidationIssue,,,external_or_builtin,115
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,isinstance,,,external_or_builtin,118
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,issues.append,,,external_or_builtin,119
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,ValidationIssue,,,external_or_builtin,119
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,set,,,external_or_builtin,122
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,set,,,external_or_builtin,123
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,str,,,external_or_builtin,126
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,imported.get,,,external_or_builtin,126
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,issues.append,,,external_or_builtin,128
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,ValidationIssue,,,external_or_builtin,128
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,issues.append,,,external_or_builtin,131
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,ValidationIssue,,,external_or_builtin,131
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,seen_ids.add,,,external_or_builtin,132
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,imported_id.startswith,,,external_or_builtin,134
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,issues.append,,,external_or_builtin,135
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,ValidationIssue,,,external_or_builtin,135
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,str,,,external_or_builtin,140
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,imported.get,,,external_or_builtin,140
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,value.strip,,,external_or_builtin,140
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,issues.append,,,external_or_builtin,142
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,ValidationIssue,,,external_or_builtin,142
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,str,,,external_or_builtin,144
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,imported.get,,,external_or_builtin,144
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,upstream_path.strip,,,external_or_builtin,144
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,issues.append,,,external_or_builtin,147
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,ValidationIssue,,,external_or_builtin,147
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,seen_paths.add,,,external_or_builtin,148
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,issues.append,,,external_or_builtin,150
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,ValidationIssue,,,external_or_builtin,150
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,imported.get,,,external_or_builtin,152
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,isinstance,,,external_or_builtin,153
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,issues.append,,,external_or_builtin,154
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,ValidationIssue,,,external_or_builtin,154
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,set,,,external_or_builtin,158
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,str,,,external_or_builtin,158
src/ciel_sot_agent/index_validator.py,validate_demo_shell_map_data,map_object_id not in {str(binding) for binding in bindings},,,
